"name","preferred","long_name","unicode","description","type"
"kg/m³","kgm-3","Kilograms per cubic metre","kg/m(U+00B3)","A unit of concentration (and density)","Concentration (Mass/Vol)"
"kgm⁻³","kgm-3","Kilograms per cubic metre","kgm(U+207B)(U+00B3)","A unit of concentration (and density)","Concentration (Mass/Vol)"
"km²","km2","Square kilometre","km(U+00B2)","A unit of area","Area"
"m⁻¹","m-1","Absorbance per metre","m(U+207B)(U+00B9)","A unit of absorbance","Misc"
"m²","m2","Square metre","m(U+00B2)","A unit of area","Area"
"m²/s","m2/s","Square metres per second","m(U+00B2)/s","A unit of kinematic viscosity","Misc"
"m³","m3","Cubic metre","m(U+00B3)","A unit of volume","Volume"
"m³/d","m3/d","Cubic metres per day","m(U+00B3)/d","A measure of volume flow rate or discharge","Flow (Vol/Time)"
"m³/h","m3/h","Cubic metres per hour","m(U+00B3)/h","A measure of volume flow rate or discharge","Flow (Vol/Time)"
"m³/min","m3/min","Cubic metres per minute","m(U+00B3)/min","A measure of volume flow rate or discharge","Flow (Vol/Time)"
"m³/s","m3/s","Cubic metres per second","m(U+00B3)/s","A measure of volume flow rate or discharge","Flow (Vol/Time)"
"m³/wk","m3/wk","Cubic metres per week","m(U+00B3)/wk","A measure of volume flow rate or discharge","Flow (Vol/Time)"
"m³/y","m3/y","Cubic metres per year","m(U+00B3)/y","A measure of volume flow rate or discharge","Flow (Vol/Time)"
"mg/m²","mg/m2","Milligram per square metre","mg/m(U+00B2)","A unit of concentration","Concentration (Mass/Area)"
"mg/m²/s","mg/m2/s","Milligrams per square meter per second","mg/m(U+00B2)/s","A measure of volume flow rate or discharge","Flow (Mass/Area/Time)"
"mg/m³","mg/m3","Milligrams per cubic metre","mg/m(U+00B3)","A unit of concentration","Concentration (Mass/Vol)"
"mgkg⁻¹","mgkg-1","Milligrams per Kilograms","mgkg(U+207B)(U+00B9)","A unit of concentration used for chemicals in biota","Concentration (Mass/Mass)"
"mgNm⁻³","mgNm-3","Emissions versus normal gas volume","mgNm(U+207B)(U+00B3)","A unit of gas concentration","Concentration (Mass/Vol)"
"mm²","mm2","Square millimetre","mm(U+00B2)","A unit of area","Area"
"mm³","mm3","Cubic millimetres","mm(U+00B3)","A unit of volume","Volume"
"mm³/d","mm3/d","Cubic millimetres per day","mm(U+00B3)/d","A measure of volume flow rate or discharge","Flow (Vol/Time)"
"mm³/day","mm3/d","Cubic millimetres per day","mm(U+00B3)/day","A measure of volume flow rate or discharge","Flow (Vol/Time)"
"mm³/h","mm3/h","Cubic millimetres per hour","mm(U+00B3)/h","A measure of volume flow rate or discharge","Flow (Vol/Time)"
"mm³/hr","mm3/h","Cubic millimetres per hour","mm(U+00B3)/hr","A measure of volume flow rate or discharge","Flow (Vol/Time)"
"mm³/m","mm3/min","Cubic millimetres per minute","mm(U+00B3)/m","A measure of volume flow rate or discharge","Flow (Vol/Time)"
"mm³/min","mm3/min","Cubic millimetres per minute","mm(U+00B3)/min","A measure of volume flow rate or discharge","Flow (Vol/Time)"
"mm³/s","mm3/s","Cubic millimetres per second","mm(U+00B3)/s","A measure of volume flow rate or discharge","Flow (Vol/Time)"
"mm³/wk","mm3/wk","Cubic millimetres per week","mm(U+00B3)/wk","A measure of volume flow rate or discharge","Flow (Vol/Time)"
"mol/m³","mol/m3","Moles per Cubic metre","mol/m(U+00B3)","A unit of concentration","Concentration (Mass/Vol)"
"ms⁻¹","ms-1","Metres per second","ms(U+207B)(U+00B9)","A unit of velocity and speed","Speed (Length/Time)"
"mScm⁻¹","mScm-1","Millisiemens per centimetre","mScm(U+207B)(U+00B9)","A unit of conductivity","Electric Conductvity"
"mSm⁻¹","mSm-1","Millisiemens per metre","mSm(U+207B)(U+00B9)","A unit of conductivity","Electric Conductvity"
"mW/m²","mWm-2","Milliwatts per square metre","mW/m(U+00B2)","A unit of power density","Energy and Power"
"mWm⁻²","mWm-2","Milliwatts per square metre","mWm(U+207B)(U+00B2)","A unit of power density","Energy and Power"
"ng/m³","ng/m3","Nanograms per cubic metre","ng/m(U+00B3)","A unit of concentration","Concentration (Mass/Vol)"
"ngkg⁻¹","ngkg-1","Nanograms per kilograms","ngkg(U+207B)(U+00B9)","A unit of concentration used for chemicals in biota","Concentration (Mass/Mass)"
"pg/m³","pg/m3","Picograms per cubic metre ","pg/m(U+00B3)","A unit of concentration","Concentration (Mass/Vol)"
"TJm⁻³","TJm-3","Terrajoules per cubic metre","TJm(U+207B)(U+00B3)","A unit of energy density","Energy and Power "
"tSO²/GWh","tSO2/GWh","Emissions versus electrical power generated","tSO(U+00B2)/GWh","A unit of emissions versus power generated","Energy and Power "
"ug/m²","µg/m2","Micrograms per square metre","ug/m(U+00B2)","A unit of concentration","Concentration (Mass/Vol)"
"ug/m³","µg/m3","Micrograms per cubic metre","ug/m(U+00B3)","A unit of concentration","Concentration (Mass/Vol)"
"ugkg⁻¹","µgkg-1","Micrograms per kilogram","ugkg(U+207B)(U+00B9)","A unit of concentration used for chemicals in biota","Concentration (Mass/Mass)"
"uScm⁻¹","µScm-1","Microsiemens per centimetre","uScm(U+207B)(U+00B9)","A unit of conductivity","Electric Conductvity"
"Wm⁻²","Wm-2","Watts per square metre","Wm(U+207B)(U+00B2)","A unit of power density","Energy and Power "
