"lic_wml","lic_name","lic_site","lic_epr","pas_permit","lic_othid"
"BW0991IX","Viridor Limited","ERIN LANDFILL",,"BW0991IX",
"BW0991IX","Viridor Limited","ERIN LANDFILL",,"DP3735LJ",
"BW0991IX","Viridor Limited","ERIN LANDFILL",,"NP3835NC",
"BW0991IX","Viridor Limited","ERIN LANDFILL",,"QP3833WD",
"BW0991IX","Viridor Limited","ERIN LANDFILL",,"XP3831GG",
"BW1009ID","Darrington Quarries Ltd","Barnsdale Bar Landfill EPR/BW1009ID",,"BW1009ID",
"BW1009ID","Darrington Quarries Ltd","Barnsdale Bar Landfill EPR/BW1009ID",,"HP3133AQ",
"BW1009ID","Darrington Quarries Ltd","Barnsdale Bar Landfill EPR/BW1009ID",,"NP3635NK",
"BW1009ID","Darrington Quarries Ltd","Barnsdale Bar Landfill EPR/BW1009ID",,"PP3336AW",
"BW1009ID","Darrington Quarries Ltd","Barnsdale Bar Landfill EPR/BW1009ID",,"RP3831RC",
"BW1009ID","Darrington Quarries Ltd","Barnsdale Bar Landfill EPR/BW1009ID",,"WP3936XF",
"BW1157IQ","Infinis (Re-Gen) Ltd","Meece 3",,"BW1157IQ",
"BW1157IQ","Infinis (Re-Gen) Ltd","Meece 3",,"HP3136TP",
"BW1157IQ","Infinis (Re-Gen) Ltd","Meece 3",,"VP3735ZX",
"BW1416IQ","P. Casey Enviro (Arden) Limited","Arden Quarry Landfill EPR/BW1416IQ",,"BP3830AB",
"BW1416IQ","P. Casey Enviro (Arden) Limited","Arden Quarry Landfill EPR/BW1416IQ",,"BW1416IQ",
"BW1416IQ","P. Casey Enviro (Arden) Limited","Arden Quarry Landfill EPR/BW1416IQ",,"SP3134VT",
"BW1416IQ","P. Casey Enviro (Arden) Limited","Arden Quarry Landfill EPR/BW1416IQ",,"VP3436AB",
"BW1785IH","Integrated Waste Management Ltd","Winterton South Landfill EPR/BW1785IH",,"BW1785IH",
"BW1785IH","Integrated Waste Management Ltd","Winterton South Landfill EPR/BW1785IH",,"EP3139AK",
"BW1785IH","Integrated Waste Management Ltd","Winterton South Landfill EPR/BW1785IH",,"EP3737LL",
"BW1785IH","Integrated Waste Management Ltd","Winterton South Landfill EPR/BW1785IH",,"GP3331XY",
"BW1785IH","Integrated Waste Management Ltd","Winterton South Landfill EPR/BW1785IH",,"HP3036RD",
"BW1785IH","Integrated Waste Management Ltd","Winterton South Landfill EPR/BW1785IH",,"JP3337FA",
"BW1785IH","Integrated Waste Management Ltd","Winterton South Landfill EPR/BW1785IH",,"KP3837SA",
"BW1785IH","Integrated Waste Management Ltd","Winterton South Landfill EPR/BW1785IH",,"TP3639VX",
"BW1807IK","Biffa Waste Services Ltd","NORTH HERTS  LANDFILL",,"BP3935LP",
"BW1807IK","Biffa Waste Services Ltd","NORTH HERTS  LANDFILL",,"BW1807IK",
"BW1807IK","Biffa Waste Services Ltd","NORTH HERTS  LANDFILL",,"EP3035NF",
"BW1807IK","Biffa Waste Services Ltd","NORTH HERTS  LANDFILL",,"LP3832CW",
"BW1807IK","Biffa Waste Services Ltd","NORTH HERTS  LANDFILL",,"QP3231LW",
"BW1807IK","Biffa Waste Services Ltd","NORTH HERTS  LANDFILL",,"ZP3538WT",
"BW2072IN","Augean North Limited","Augean North Limited",,"BW2072IN",
"BW2072IN","Augean North Limited","Augean North Limited",,"GP3632LW",
"BW2072IN","Augean North Limited","Augean North Limited",,"PP3634RC",
"BW2072IN","Augean North Limited","Augean North Limited",,"YP3531KX",
"BW2145IR","S.W.S. Limited","Longhill Landform EPR/BW2145IR",,"BP3833GZ",
"BW2145IR","S.W.S. Limited","Longhill Landform EPR/BW2145IR",,"BW2145IR",
"BW2145IR","S.W.S. Limited","Longhill Landform EPR/BW2145IR",,"SP3337RE",
"BW2145IR","S.W.S. Limited","Longhill Landform EPR/BW2145IR",,"TP3835TP",
"BW2145IR","S.W.S. Limited","Longhill Landform EPR/BW2145IR",,"XP3931ZM",
"BW2188IU","Waste Recycling Group (Yorkshire) Limited","Allerton Park Landfill Site",,"BP3337NA",
"BW2188IU","Waste Recycling Group (Yorkshire) Limited","Allerton Park Landfill Site",,"BW2188IU",
"BW2188IU","Waste Recycling Group (Yorkshire) Limited","Allerton Park Landfill Site",,"EP3635NQ",
"BW2188IU","Waste Recycling Group (Yorkshire) Limited","Allerton Park Landfill Site",,"PP3037AZ",
"BW2188IU","Waste Recycling Group (Yorkshire) Limited","Allerton Park Landfill Site",,"SP3134NB",
"BW2188IU","Waste Recycling Group (Yorkshire) Limited","Allerton Park Landfill Site",,"UP3239LZ",
"BW2188IU","Waste Recycling Group (Yorkshire) Limited","Allerton Park Landfill Site",,"VP3536XS",
"BW2277IM","Viridor Waste Management Ltd","Whitehead Landfill EPR/BW2277IM",,"BW2277IM",
"BW2277IM","Viridor Waste Management Ltd","Whitehead Landfill EPR/BW2277IM",,"HP3930GE",
"BW2277IM","Viridor Waste Management Ltd","Whitehead Landfill EPR/BW2277IM",,"JP3638MT",
"BW2277IM","Viridor Waste Management Ltd","Whitehead Landfill EPR/BW2277IM",,"PP3034UL",
"BW2277IM","Viridor Waste Management Ltd","Whitehead Landfill EPR/BW2277IM",,"RP3834NN",
"BW2277IM","Viridor Waste Management Ltd","Whitehead Landfill EPR/BW2277IM",,"TP3934LV",
"BW2277IM","Viridor Waste Management Ltd","Whitehead Landfill EPR/BW2277IM",,"VP3833GT",
"BW2277IM","Viridor Waste Management Ltd","Whitehead Landfill EPR/BW2277IM",,"XP3134LM",
"BW2277IM","Viridor Waste Management Ltd","Whitehead Landfill EPR/BW2277IM",,"ZP3230GR",
"BW2811IJ","East Waste Limited","Grunty Fen Landfill Site",,"BP3537CF",
"BW2811IJ","East Waste Limited","Grunty Fen Landfill Site",,"BW2811IJ",
"BW2811IJ","East Waste Limited","Grunty Fen Landfill Site",,"GP3231XR",
"BW2811IJ","East Waste Limited","Grunty Fen Landfill Site",,"JP3137LD",
"BW2811IJ","East Waste Limited","Grunty Fen Landfill Site",,"JP3830ZH",
"BW2811IJ","East Waste Limited","Grunty Fen Landfill Site",,"MP3336RG",
"BW2811IJ","East Waste Limited","Grunty Fen Landfill Site",,"SP3737SP",
"BW2838IN","Anti Waste Limited","Feltwell Landfill EPR/BW2838IN",,"BW2838IN",
"BW2838IN","Anti Waste Limited","Feltwell Landfill EPR/BW2838IN",,"DP3937LX",
"BW2838IN","Anti Waste Limited","Feltwell Landfill EPR/BW2838IN",,"JP3938RD",
"BW2838IN","Anti Waste Limited","Feltwell Landfill EPR/BW2838IN",,"UP3031XU",
"BW2838IN","Anti Waste Limited","Feltwell Landfill EPR/BW2838IN",,"VP3535NN",
"BW2862IU","SUEZ Recycling and Recovery UK Ltd","Somersham Landfill EPR/BW2862IU",,"BW2862IU",
"BW2862IU","SUEZ Recycling and Recovery UK Ltd","Somersham Landfill EPR/BW2862IU",,"HP3833MB",
"BW2862IU","SUEZ Recycling and Recovery UK Ltd","Somersham Landfill EPR/BW2862IU",,"JP3236CF",
"BW2862IU","SUEZ Recycling and Recovery UK Ltd","Somersham Landfill EPR/BW2862IU",,"QP3832AD",
"BW2862IU","SUEZ Recycling and Recovery UK Ltd","Somersham Landfill EPR/BW2862IU",,"RP3839FV",
"BW2943IG","Viridor Waste Management Limited","FOXHALL LANDFILL SITE",,"BW2943IG",
"BW2943IG","Viridor Waste Management Limited","FOXHALL LANDFILL SITE",,"GP3036WP",
"BW2943IG","Viridor Waste Management Limited","FOXHALL LANDFILL SITE",,"HP3137FC",
"BW2943IG","Viridor Waste Management Limited","FOXHALL LANDFILL SITE",,"MP3830EV",
"BW2943IG","Viridor Waste Management Limited","FOXHALL LANDFILL SITE",,"UP3233MS",
"BW2951IM","Biffa Waste Services Ltd","Roxby Landfill EPR/BW2951IM",,"AP3832EK",
"BW2951IM","Biffa Waste Services Ltd","Roxby Landfill EPR/BW2951IM",,"BW2951IM",
"BW2951IM","Biffa Waste Services Ltd","Roxby Landfill EPR/BW2951IM",,"FP3737TC",
"BW2951IM","Biffa Waste Services Ltd","Roxby Landfill EPR/BW2951IM",,"KP3133NE",
"BW2951IM","Biffa Waste Services Ltd","Roxby Landfill EPR/BW2951IM",,"NP3135WG",
"BW2951IM","Biffa Waste Services Ltd","Roxby Landfill EPR/BW2951IM",,"QP3033DT",
"BW2951IM","Biffa Waste Services Ltd","Roxby Landfill EPR/BW2951IM",,"TP3836LA",
"BW2951IM","Biffa Waste Services Ltd","Roxby Landfill EPR/BW2951IM",,"TP3936RS",
"BW2951IM","Biffa Waste Services Ltd","Roxby Landfill EPR/BW2951IM",,"VP3335NH",
"BW2951IM","Biffa Waste Services Ltd","Roxby Landfill EPR/BW2951IM",,"YP3033DW",
"BW2978ID","Lincwaste Limited","Whisby Landfill",,"BW2978ID",
"BW2978ID","Lincwaste Limited","Whisby Landfill",,"JP3930MQ",
"BW2978ID","Lincwaste Limited","Whisby Landfill",,"PP3736AB",
"BW2986IW","Lincwaste Limited","North Hykeham Landfill Site",,"AP3730MH",
"BW2986IW","Lincwaste Limited","North Hykeham Landfill Site",,"AP3833DT",
"BW2986IW","Lincwaste Limited","North Hykeham Landfill Site",,"BP3231XN",
"BW2986IW","Lincwaste Limited","North Hykeham Landfill Site",,"BW2986IW",
"BW2986IW","Lincwaste Limited","North Hykeham Landfill Site",,"HP3332EU",
"BW2986IW","Lincwaste Limited","North Hykeham Landfill Site",,"MP3538XY",
"BW2986IW","Lincwaste Limited","North Hykeham Landfill Site",,"TP3034NP",
"BW2986IW","Lincwaste Limited","North Hykeham Landfill Site",,"VP3235NK",
"BW2986IW","Lincwaste Limited","North Hykeham Landfill Site",,"WP3139FG",
"BW2986IW","Lincwaste Limited","North Hykeham Landfill Site",,"WP3339EH",
"BW3125IA","FCC Recycling (UK) Limited","Staple Quarry Landfill EPR/BW3125IA",,"AP3538GV",
"BW3125IA","FCC Recycling (UK) Limited","Staple Quarry Landfill EPR/BW3125IA",,"AP3539AC",
"BW3125IA","FCC Recycling (UK) Limited","Staple Quarry Landfill EPR/BW3125IA",,"BW3125IA",
"BW3125IA","FCC Recycling (UK) Limited","Staple Quarry Landfill EPR/BW3125IA",,"LP3731XH",
"BW3125IA","FCC Recycling (UK) Limited","Staple Quarry Landfill EPR/BW3125IA",,"RP3433AE",
"BW3125IA","FCC Recycling (UK) Limited","Staple Quarry Landfill EPR/BW3125IA",,"SP3135ZE",
"BW3125IA","FCC Recycling (UK) Limited","Staple Quarry Landfill EPR/BW3125IA",,"TP3834NV",
"BW3125IA","FCC Recycling (UK) Limited","Staple Quarry Landfill EPR/BW3125IA",,"WP3435NZ",
"BW9549IA","Outokumpu Stainless Ltd","Tinsley Park Works Landfill Site",,"BW9549IA",
"BX0792IX","Biffa Waste Services Ltd","KILSBY PHASE VII LANDFILL SITE EPR/BX07902IX/V004",,"BX0792IX",
"BX0792IX","Biffa Waste Services Ltd","KILSBY PHASE VII LANDFILL SITE EPR/BX07902IX/V004",,"DP3830ME",
"BX0792IX","Biffa Waste Services Ltd","KILSBY PHASE VII LANDFILL SITE EPR/BX07902IX/V004",,"HP3639GL",
"BX0792IX","Biffa Waste Services Ltd","KILSBY PHASE VII LANDFILL SITE EPR/BX07902IX/V004",,"WP3935NQ",
"BX1942IX","Sandfield Gravel Company Ltd","Milegate Extension Landfill Site",,"BX1942IX",
"BX2388IF","Veolia ES Landfill Limited","CROFT FARM LANDFILL SITE",,"AP3034NU",
"BX2388IF","Veolia ES Landfill Limited","CROFT FARM LANDFILL SITE",,"BX2388IF",
"BX2388IF","Veolia ES Landfill Limited","CROFT FARM LANDFILL SITE",,"DP3039LV",
"BX2388IF","Veolia ES Landfill Limited","CROFT FARM LANDFILL SITE",,"VP3930DS",
"BX2388IF","Veolia ES Landfill Limited","CROFT FARM LANDFILL SITE",,"ZP3335TD",
"BX4054ID","Viridor Waste Management Ltd","Trigon Landfill Site",,"AP3035NG",
"BX4054ID","Viridor Waste Management Ltd","Trigon Landfill Site",,"BX4054ID",
"BX4054ID","Viridor Waste Management Ltd","Trigon Landfill Site",,"KP3839GH",
"BX4054ID","Viridor Waste Management Ltd","Trigon Landfill Site",,"MP3331RY",
"BX4054ID","Viridor Waste Management Ltd","Trigon Landfill Site",,"MP3836CS",
"BX4054ID","Viridor Waste Management Ltd","Trigon Landfill Site",,"ZP3233DJ",
"BX7886IJ","Cory Environmental (Central) Ltd","LYME AND WOOD PITS INTEGRATED WASTE MANAGEMENT FACILITY",,"AP3835NQ",
"BX7886IJ","Cory Environmental (Central) Ltd","LYME AND WOOD PITS INTEGRATED WASTE MANAGEMENT FACILITY",,"BX7886IJ",
"BX7886IJ","Cory Environmental (Central) Ltd","LYME AND WOOD PITS INTEGRATED WASTE MANAGEMENT FACILITY",,"XP3733KZ",
"CP3035PF","Hills Waste Solutions Limited","Chapel Farm Phase 2 Landfill Site",,"CP3035PF",
"CP3035PF","Hills Waste Solutions Limited","Chapel Farm Phase 2 Landfill Site",,"FP3632RJ",
"CP3035PF","Hills Waste Solutions Limited","Chapel Farm Phase 2 Landfill Site",,"HP3539VV",
"CP3035PF","Hills Waste Solutions Limited","Chapel Farm Phase 2 Landfill Site",,"HP3736SF",
"CP3035PF","Hills Waste Solutions Limited","Chapel Farm Phase 2 Landfill Site",,"LP3733ML",
"CP3035PF","Hills Waste Solutions Limited","Chapel Farm Phase 2 Landfill Site",,"MP3636AD",
"CP3035PF","Hills Waste Solutions Limited","Chapel Farm Phase 2 Landfill Site",,"QP3539CX",
"CP3035PF","Hills Waste Solutions Limited","Chapel Farm Phase 2 Landfill Site",,"SP3335UN",
"CP3035PF","Hills Waste Solutions Limited","Chapel Farm Phase 2 Landfill Site",,"UP3437XB",
"CP3232FQ","City Plant Limited","Gilberdyke Landfill EPR/CP3232FQ",,"CP3232FQ",
"CP3232FQ","City Plant Limited","Gilberdyke Landfill EPR/CP3232FQ",,"DP3339ZC",
"CP3232FQ","City Plant Limited","Gilberdyke Landfill EPR/CP3232FQ",,"EP3636CN",
"CP3232FQ","City Plant Limited","Gilberdyke Landfill EPR/CP3232FQ",,"HP3239VH",
"CP3232FQ","City Plant Limited","Gilberdyke Landfill EPR/CP3232FQ",,"SP3531AN",
"CP3232FQ","City Plant Limited","Gilberdyke Landfill EPR/CP3232FQ",,"WP3033CN",
"CP3232FQ","City Plant Limited","Gilberdyke Landfill EPR/CP3232FQ",,"XP3433RN",
"CP3232FQ","City Plant Limited","Gilberdyke Landfill EPR/CP3232FQ",,"ZP3138VP",
"CP3438UX","EDL (UK) LFG Generation","Barling LFG Generation Plant EPR/CP3438UX",,"CP3438UX",
"CP3438UX","EDL (UK) LFG Generation","Barling LFG Generation Plant EPR/CP3438UX",,"VP3535ZS",
"CP3438UX","EDL (UK) LFG Generation","Barling LFG Generation Plant EPR/CP3438UX",,"WP3837KJ",
"CP3438UX","EDL (UK) LFG Generation","Barling LFG Generation Plant EPR/CP3438UX",,"YP3339GN",
"CP3536XG","Mick George Ltd","Rushton Landfill EPR/CP3536XG",,"CP3536XG",
"CP3536XG","Mick George Ltd","Rushton Landfill EPR/CP3536XG",,"CP3930ZU",
"CP3536XG","Mick George Ltd","Rushton Landfill EPR/CP3536XG",,"LP3833DD",
"CP3536XG","Mick George Ltd","Rushton Landfill EPR/CP3536XG",,"UP3233ZE",
"CP3536XG","Mick George Ltd","Rushton Landfill EPR/CP3536XG",,"WP3431GJ",
"DP3236HH","SUEZ Recycling and Recovery UK Ltd","Avonmouth Resource Park EPR/DP3236HH",,"DP3236HH",
"DP3236HH","SUEZ Recycling and Recovery UK Ltd","Avonmouth Resource Park EPR/DP3236HH",,"EP3835DW",
"DP3238SB","SUEZ Recycling and Recovery UK Ltd","Ellington Road LF EPR/DP3238SB",,"CP3035DQ",
"DP3238SB","SUEZ Recycling and Recovery UK Ltd","Ellington Road LF EPR/DP3238SB",,"DP3238SB",
"DP3238SB","SUEZ Recycling and Recovery UK Ltd","Ellington Road LF EPR/DP3238SB",,"GP3234XB",
"DP3238SB","SUEZ Recycling and Recovery UK Ltd","Ellington Road LF EPR/DP3238SB",,"TP3833VJ",
"DP3238SB","SUEZ Recycling and Recovery UK Ltd","Ellington Road LF EPR/DP3238SB",,"YP3535NW",
"DP3333KT","Saint-Gobain Construction Products UK Limited","Kirkby Thore Works Landfill Site",,"AP3732AS",
"DP3333KT","Saint-Gobain Construction Products UK Limited","Kirkby Thore Works Landfill Site",,"DP3333KT",
"DP3333KT","Saint-Gobain Construction Products UK Limited","Kirkby Thore Works Landfill Site",,"JP3636EY",
"DP3335ME","Cemex UK Cement Ltd","Southam Landfill",,"BP3933ZH",
"DP3335ME","Cemex UK Cement Ltd","Southam Landfill",,"DP3335ME",
"DP3335ME","Cemex UK Cement Ltd","Southam Landfill",,"HP3534VX",
"DP3439AZ","Norfolk County Council","Edgefield Landfill Site EPR/DP3439AZ",,"DP3439AZ",
"DP3439AZ","Norfolk County Council","Edgefield Landfill Site EPR/DP3439AZ",,"FP3631AL",
"DP3639LM","Whitemoss Landfill Ltd","WHITEMOSS LANDFILL",,"DP3639LM",
"DP3639LM","Whitemoss Landfill Ltd","WHITEMOSS LANDFILL",,"KP3532GN",
"DP3639LM","Whitemoss Landfill Ltd","WHITEMOSS LANDFILL",,"NP3532HA",
"DP3639LM","Whitemoss Landfill Ltd","WHITEMOSS LANDFILL",,"TP3031VS",
"DP3639LM","Whitemoss Landfill Ltd","WHITEMOSS LANDFILL",,"WP3532ZY",
"DP3736FA","Anti-Waste Limited","Blackborough End Landfill (Red Land) EPR/JP3092NV",,"DP3736FA",
"DP3736FA","Anti-Waste Limited","Blackborough End Landfill (Red Land) EPR/JP3092NV",,"QP3837WM",
"DP3736FA","Anti-Waste Limited","Blackborough End Landfill (Red Land) EPR/JP3092NV",,"QP3938RL",
"DP3834GW","Commercial Recycling Ltd","Southwood Landfill SIte EPR/DP3834GW",,"DP3834GW",
"DP3834GW","Commercial Recycling Ltd","Southwood Landfill SIte EPR/DP3834GW",,"YP3836EV",
"DP3836LS","FCC Recycling (UK) Limited","Carlton Forest Landfill EPR/DP3836LS",,"DP3836LS",
"DP3836LS","FCC Recycling (UK) Limited","Carlton Forest Landfill EPR/DP3836LS",,"KP3333ZG",
"DP3939SW","Cory Environmental Ltd","Bellhouse Landfill EPR/DP3939SW",,"CP3033MM",
"DP3939SW","Cory Environmental Ltd","Bellhouse Landfill EPR/DP3939SW",,"DP3939SW",
"DP3939SW","Cory Environmental Ltd","Bellhouse Landfill EPR/DP3939SW",,"NP3133UB",
"DP3939SW","Cory Environmental Ltd","Bellhouse Landfill EPR/DP3939SW",,"PP3034LA",
"DP3939SW","Cory Environmental Ltd","Bellhouse Landfill EPR/DP3939SW",,"PP3439RA",
"DP3939SW","Cory Environmental Ltd","Bellhouse Landfill EPR/DP3939SW",,"RP3635AQ",
"DP3939SW","Cory Environmental Ltd","Bellhouse Landfill EPR/DP3939SW",,"RP3734XJ",
"DP3939SW","Cory Environmental Ltd","Bellhouse Landfill EPR/DP3939SW",,"SP3334TF",
"DP3939SW","Cory Environmental Ltd","Bellhouse Landfill EPR/DP3939SW",,"SP3730GJ",
"EP3038GH","Novera Energy Generation No. 1 Limited","Burghfield Landfill Gas Utilisation Site EPR/EP3038GH/V004",,"EP3038GH",
"EP3038GH","Novera Energy Generation No. 1 Limited","Burghfield Landfill Gas Utilisation Site EPR/EP3038GH/V004",,"EP3633FF",
"EP3038GH","Novera Energy Generation No. 1 Limited","Burghfield Landfill Gas Utilisation Site EPR/EP3038GH/V004",,"VP3637TS",
"EP3038GH","Novera Energy Generation No. 1 Limited","Burghfield Landfill Gas Utilisation Site EPR/EP3038GH/V004",,"WP3935ZF",
"EP3038LE","Integrated Waste Management Ltd","Winterton Gas Utilisation Plant",,"EP3038LE",
"EP3038LE","Integrated Waste Management Ltd","Winterton Gas Utilisation Plant",,"WP3435ZB",
"EP3135PE","Tilfen Land Limited","Tripcock Point EPR/EP3135PE",,"CP3135FL",
"EP3135PE","Tilfen Land Limited","Tripcock Point EPR/EP3135PE",,"EP3135PE",
"EP3135PE","Tilfen Land Limited","Tripcock Point EPR/EP3135PE",,"MP3036EC",
"EP3135PE","Tilfen Land Limited","Tripcock Point EPR/EP3135PE",,"NP3037LJ",
"EP3135PE","Tilfen Land Limited","Tripcock Point EPR/EP3135PE",,"QP3235LB",
"EP3135PE","Tilfen Land Limited","Tripcock Point EPR/EP3135PE",,"QP3335GJ",
"EP3135PE","Tilfen Land Limited","Tripcock Point EPR/EP3135PE",,"UP3937XF",
"EP3135PE","Tilfen Land Limited","Tripcock Point EPR/EP3135PE",,"ZP3436NA",
"EP3136GK","Veolia ES Landfill Limited","Rainham Landfill EPR/EP3136GK",,"EP3136GK",
"EP3136GK","Veolia ES Landfill Limited","Rainham Landfill EPR/EP3136GK",,"JP3637AR",
"EP3136GK","Veolia ES Landfill Limited","Rainham Landfill EPR/EP3136GK",,"JP3935NH",
"EP3136GK","Veolia ES Landfill Limited","Rainham Landfill EPR/EP3136GK",,"KP3337RG",
"EP3136GK","Veolia ES Landfill Limited","Rainham Landfill EPR/EP3136GK",,"SP3036KP",
"EP3136GK","Veolia ES Landfill Limited","Rainham Landfill EPR/EP3136GK",,"YP3238RY",
"EP3830LE","ALAB ENVIRONMENTAL SERVICES LIMITED","SEATON MEADOWS",,"EP3830LE",
"EP3830LE","ALAB ENVIRONMENTAL SERVICES LIMITED","SEATON MEADOWS",,"FP3431FM",
"EP3830LE","ALAB ENVIRONMENTAL SERVICES LIMITED","SEATON MEADOWS",,"FP3433XS",
"EP3830LE","ALAB ENVIRONMENTAL SERVICES LIMITED","SEATON MEADOWS",,"FP3936UE",
"EP3830LE","ALAB ENVIRONMENTAL SERVICES LIMITED","SEATON MEADOWS",,"JP3338ML",
"EP3830LE","ALAB ENVIRONMENTAL SERVICES LIMITED","SEATON MEADOWS",,"NP3532CZ",
"EP3830LE","ALAB ENVIRONMENTAL SERVICES LIMITED","SEATON MEADOWS",,"PP3935FK",
"EP3830LE","ALAB ENVIRONMENTAL SERVICES LIMITED","SEATON MEADOWS",,"QP3033GC",
"EP3830LE","ALAB ENVIRONMENTAL SERVICES LIMITED","SEATON MEADOWS",,"UP3934VL",
"EP3936GP","Veolia ES Landfill Limited","Pitsea Landfill",,"EP3936GP",
"EP3936GP","Veolia ES Landfill Limited","Pitsea Landfill",,"VP3237NC",
"EP3936GP","Veolia ES Landfill Limited","Pitsea Landfill",,"YP3530CD",
"FP3038UB","EDL (UK) LFG Generation","Rainham Generation Plant EPR/FP3038UB",,"FP3038UB",
"FP3038UB","EDL (UK) LFG Generation","Rainham Generation Plant EPR/FP3038UB",,"SP3036ZE",
"FP3038UB","EDL (UK) LFG Generation","Rainham Generation Plant EPR/FP3038UB",,"WP3037KX",
"FP3138UL","EDL (UK) LFG Generation","Bellhouse Generation plant EPR/FP3138UL",,"FP3138UL",
"FP3138UL","EDL (UK) LFG Generation","Bellhouse Generation plant EPR/FP3138UL",,"FP3738ZD",
"FP3138UL","EDL (UK) LFG Generation","Bellhouse Generation plant EPR/FP3138UL",,"HP3431UY",
"FP3138UL","EDL (UK) LFG Generation","Bellhouse Generation plant EPR/FP3138UL",,"HP3839GG",
"FP3138UL","EDL (UK) LFG Generation","Bellhouse Generation plant EPR/FP3138UL",,"WP3637KA",
"FP3435PJ","Biffa Waste Services Ltd","Studley Grange Landfill EPR/FP3435PJ",,"FP3435PJ",
"FP3435PJ","Biffa Waste Services Ltd","Studley Grange Landfill EPR/FP3435PJ",,"HP3430GU",
"FP3435PJ","Biffa Waste Services Ltd","Studley Grange Landfill EPR/FP3435PJ",,"UP3235ZR",
"FP3435PJ","Biffa Waste Services Ltd","Studley Grange Landfill EPR/FP3435PJ",,"XP3738VH",
"FP3437CZ","Lynemouth Power Limited","Alcan Ash Lagoons 1-4 EPR/FP3437CZ",,"FP3437CZ",
"FP3437CZ","Lynemouth Power Limited","Alcan Ash Lagoons 1-4 EPR/FP3437CZ",,"GP3132WA",
"FP3437CZ","Lynemouth Power Limited","Alcan Ash Lagoons 1-4 EPR/FP3437CZ",,"MP3134EH",
"FP3437CZ","Lynemouth Power Limited","Alcan Ash Lagoons 1-4 EPR/FP3437CZ",,"XP3831RA",
"FP3438UT","EDL (UK) LFG Generation","PItsea Generation Plant EPR/FP3438UT",,"AP3337KN",
"FP3438UT","EDL (UK) LFG Generation","PItsea Generation Plant EPR/FP3438UT",,"AP3635ZG",
"FP3438UT","EDL (UK) LFG Generation","PItsea Generation Plant EPR/FP3438UT",,"DP3330XV",
"FP3438UT","EDL (UK) LFG Generation","PItsea Generation Plant EPR/FP3438UT",,"FP3438UT",
"FP3438UT","EDL (UK) LFG Generation","PItsea Generation Plant EPR/FP3438UT",,"ZP3938HS",
"FP3733BH","SUEZ Recycling and Recovery UK Ltd","Godmanchester Landfill EPR/FP3733BH",,"CP3632UJ",
"FP3733BH","SUEZ Recycling and Recovery UK Ltd","Godmanchester Landfill EPR/FP3733BH",,"FP3733BH",
"FP3733BH","SUEZ Recycling and Recovery UK Ltd","Godmanchester Landfill EPR/FP3733BH",,"JP3237FV",
"FP3733BH","SUEZ Recycling and Recovery UK Ltd","Godmanchester Landfill EPR/FP3733BH",,"PP3637NN",
"FP3733BH","SUEZ Recycling and Recovery UK Ltd","Godmanchester Landfill EPR/FP3733BH",,"QP3935NW",
"FP3733BH","SUEZ Recycling and Recovery UK Ltd","Godmanchester Landfill EPR/FP3733BH",,"TP3335DJ",
"GP3037SJ","FCC Recycling (UK) Limited","Lillyhall Stage 3 Landfill Site",,"BP3634KE",
"GP3037SJ","FCC Recycling (UK) Limited","Lillyhall Stage 3 Landfill Site",,"DP3338UU",
"GP3037SJ","FCC Recycling (UK) Limited","Lillyhall Stage 3 Landfill Site",,"GP3037SJ",
"GP3037SJ","FCC Recycling (UK) Limited","Lillyhall Stage 3 Landfill Site",,"KP3639GX",
"GP3037SJ","FCC Recycling (UK) Limited","Lillyhall Stage 3 Landfill Site",,"NP3234TM",
"GP3037SJ","FCC Recycling (UK) Limited","Lillyhall Stage 3 Landfill Site",,"PP3835VJ",
"GP3037SJ","FCC Recycling (UK) Limited","Lillyhall Stage 3 Landfill Site",,"QP3238NT",
"GP3037SJ","FCC Recycling (UK) Limited","Lillyhall Stage 3 Landfill Site",,"RP3230ZX",
"GP3037SJ","FCC Recycling (UK) Limited","Lillyhall Stage 3 Landfill Site",,"WP3138KH",
"GP3232PZ","Infinis (Re-Gen) Ltd","Highmoor Landfill Gas Compound",,"GP3232PZ",
"GP3232PZ","Infinis (Re-Gen) Ltd","Highmoor Landfill Gas Compound",,"LP3436XN",
"GP3232PZ","Infinis (Re-Gen) Ltd","Highmoor Landfill Gas Compound",,"QP3435NG",
"GP3334XL","British Salt Ltd","Hilltop Farm Brinefields",,"GP3334XL",
"GP3334XL","British Salt Ltd","Hilltop Farm Brinefields",,"ZP3236FX",
"GP3431LF","Anti Waste Limited","Buckden Effluent Treatment Plant",,"AP3538DZ",
"GP3431LF","Anti Waste Limited","Buckden Effluent Treatment Plant",,"GP3431LF",
"GP3431LF","Anti Waste Limited","Buckden Effluent Treatment Plant",,"VP3333AW",
"GP3431LF","Anti Waste Limited","Buckden Effluent Treatment Plant",,"YP3637NQ",
"GP3537PU","Recovery Lancashire Limited","Henthorn Road Landfill EPR/GP3537PU",,"GP3537PU",
"GP3537PU","Recovery Lancashire Limited","Henthorn Road Landfill EPR/GP3537PU",,"MP3131EM",
"GP3537PU","Recovery Lancashire Limited","Henthorn Road Landfill EPR/GP3537PU",,"SP3335DY",
"GP3632PY","Infinis (Re-Gen) Ltd","Distington Gas Utilisation Plant",,"GP3632PY",
