"parameter_name","type","regime_obligation_name","threshold","unit"
"Toxaphene","REPORTING_THRESHOLD","PI_A1_RTCW",0.1,"kg"
"Tributyltin and compounds - as TBT","REPORTING_THRESHOLD","PI_A1_RTCW",0.005,"kg"
"Trichlorobenzene","REPORTING_THRESHOLD","PI_A1_RTCW",0.01,"kg"
"Trichloroethene","REPORTING_THRESHOLD","PI_A1_RTCW",1,"kg"
"Trichloromethane","REPORTING_THRESHOLD","PI_A1_RTCW",5,"kg"
"Trifluralin","REPORTING_THRESHOLD","PI_A1_RTCW",0.001,"kg"
"Triphenyltin and compounds - as TPT","REPORTING_THRESHOLD","PI_A1_RTCW",0.1,"kg"
"Xylene","REPORTING_THRESHOLD","PI_A1_RTCW",10,"kg"
"Zinc","REPORTING_THRESHOLD","PI_A1_RTCW",100,"kg"
"1,2-Dichloroethane","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",10,"kg"
"Alachlor","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.1,"kg"
"Aldrin","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.0005,"kg"
"Anthracene","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.1,"kg"
"Arsenic","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",5,"kg"
"Asbestos","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.1,"kg"
"Atrazine","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.05,"kg"
"Benzene","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",10,"kg"
"Benzo[a]pyrene","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",1,"kg"
"Benzo[b]fluoranthene","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",1,"kg"
"Benzo[ghi]perylene","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.1,"kg"
"Benzo[k]fluoranthene","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",1,"kg"
"Brominated diphenylethers - tetra-, penta-, octa-, hexa-,
hepta- and deca-BDE","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.1,"kg"
"Cadmium","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",1,"kg"
"Chlordane","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.1,"kg"
"Chlordecone","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.1,"kg"
"Chlorfenvinphos","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.1,"kg"
"Chloride","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",2000000,"kg"
"Chloroethene","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",1,"kg"
"Chromium","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",20,"kg"
"Copper","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",20,"kg"
"Cyanides - as CN","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",50,"kg"
"DDT (Dichlorodiphenyltrichloroethane)","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.0005,"kg"
"Di(2-ethylhexyl)phthalate (DEHP)","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.1,"kg"
"Dichloromethane","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",10,"kg"
"Dieldrin","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.0005,"kg"
"Dioxins and furans (PCDDs/PCDFs) - as I-TEQ","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.0001,"kg"
"Dioxins and furans (PCDDs/PCDFs) - as WHO-TEQ","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.0001,"kg"
"Diuron","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.05,"kg"
"Endosulfan","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.0005,"kg"
"Endrin","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.0005,"kg"
"Ethylbenzene","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",10,"kg"
"Ethylene oxide (1,2 Epoxyethane)","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",1,"kg"
"Fluoranthene","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.1,"kg"
"Fluorides - as F","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",2000,"kg"
"Halogenated organic compounds - total as AOX","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",1000,"kg"
"HCH-gamma","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.1,"kg"
"Heptachlor (and heptachor epoxide)","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.1,"kg"
"Hexabromobiphenyl","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.1,"kg"
"Hexabromocyclododecane","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.1,"kg"
"Hexachloro - 1,3 - butadiene","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.1,"kg"
"Hexachlorobenzene","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.01,"kg"
"Hexachlorocyclohexane","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.01,"kg"
"Iron","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",1000,"kg"
"Isodrin","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.0005,"kg"
"Isoproturon","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.01,"kg"
"Lead","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",20,"kg"
"Mercury","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.1,"kg"
"Mirex","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.1,"kg"
"Naphthalene","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",1,"kg"
"Nickel","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",20,"kg"
"Nitrogen","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",50000,"kg"
"Nonylphenols and nonylphenol ethoxylates","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",1,"kg"
"Octylphenols and octylphenol ethoxylates","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",1,"kg"
"Organotin compounds - as Sn","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",5,"kg"
"Pentachlorobenzene","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.1,"kg"
"Pentachlorophenol","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.05,"kg"
"Perfluoro octanyl sulphate (PFOS)","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.1,"kg"
"Phenols - phenol and simple substituted - as C","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",20,"kg"
"Phosphorus","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",5000,"kg"
"Polychlorinated biphenyls (PCBs)","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.001,"kg"
"Polychlorinated biphenyls (PCBs) - as WHO-TEQ","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.0001,"kg"
"Short chain (C10-C13) chlorinated paraffins (SCCPs)","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.1,"kg"
"Simazine","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.01,"kg"
"Tetrachloroethene","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",1,"kg"
"Tetrachloromethane","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",1,"kg"
"Toluene","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",10,"kg"
"Total Organic Carbon","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",50000,"kg"
"Toxaphene","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.1,"kg"
"Tributyltin and compounds - as TBT","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.005,"kg"
"Trichlorobenzene","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.01,"kg"
"Trichloroethene","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",1,"kg"
"Trichloromethane","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",5,"kg"
"Trifluralin","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.001,"kg"
"Triphenyltin and compounds - as TPT","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",0.1,"kg"
"Xylene","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",10,"kg"
"Zinc","REPORTING_THRESHOLD","PI_A1LFIA_RTCW",100,"kg"
"1,2-Dichloroethane","REPORTING_THRESHOLD","PI_EPRTR_RTCW",10,"kg"
"Alachlor","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Aldrin","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Anthracene","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Arsenic","REPORTING_THRESHOLD","PI_EPRTR_RTCW",5,"kg"
"Asbestos","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Atrazine","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Benzene","REPORTING_THRESHOLD","PI_EPRTR_RTCW",200,"kg"
"Benzo[a]pyrene","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Benzo[b]fluoranthene","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Benzo[ghi]perylene","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Benzo[k]fluoranthene","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Brominated diphenylethers - tetra-, penta-, octa-, hexa-,
hepta- and deca-BDE","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Cadmium","REPORTING_THRESHOLD","PI_EPRTR_RTCW",5,"kg"
"Chlordane","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Chlordecone","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Chlorfenvinphos","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Chloride","REPORTING_THRESHOLD","PI_EPRTR_RTCW",2000000,"kg"
"Chloroethene","REPORTING_THRESHOLD","PI_EPRTR_RTCW",10,"kg"
"Chromium","REPORTING_THRESHOLD","PI_EPRTR_RTCW",50,"kg"
"Copper","REPORTING_THRESHOLD","PI_EPRTR_RTCW",50,"kg"
"Cyanides - as CN","REPORTING_THRESHOLD","PI_EPRTR_RTCW",50,"kg"
"DDT (Dichlorodiphenyltrichloroethane)","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Di(2-ethylhexyl)phthalate (DEHP)","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Dichloromethane","REPORTING_THRESHOLD","PI_EPRTR_RTCW",10,"kg"
"Dieldrin","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Dioxins and furans (PCDDs/PCDFs) - as I-TEQ","REPORTING_THRESHOLD","PI_EPRTR_RTCW",0.0001,"kg"
"Dioxins and furans (PCDDs/PCDFs) - as WHO-TEQ","REPORTING_THRESHOLD","PI_EPRTR_RTCW",0.0001,"kg"
"Diuron","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Endosulfan","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Endrin","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Ethylbenzene","REPORTING_THRESHOLD","PI_EPRTR_RTCW",200,"kg"
"Ethylene oxide (1,2 Epoxyethane)","REPORTING_THRESHOLD","PI_EPRTR_RTCW",10,"kg"
"Fluoranthene","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Fluorides - as F","REPORTING_THRESHOLD","PI_EPRTR_RTCW",2000,"kg"
"Halogenated organic compounds - total as AOX","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1000,"kg"
"HCH-gamma","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Heptachlor (and heptachor epoxide)","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Hexabromobiphenyl","REPORTING_THRESHOLD","PI_EPRTR_RTCW",0.1,"kg"
"Hexachloro - 1,3 - butadiene","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Hexachlorobenzene","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Hexachlorocyclohexane","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Indeno[1,2,3-cd]pyrene","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Isodrin","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Isoproturon","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Lead","REPORTING_THRESHOLD","PI_EPRTR_RTCW",20,"kg"
"Mercury","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Mirex","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Naphthalene","REPORTING_THRESHOLD","PI_EPRTR_RTCW",10,"kg"
"Nickel","REPORTING_THRESHOLD","PI_EPRTR_RTCW",20,"kg"
"Nitrogen","REPORTING_THRESHOLD","PI_EPRTR_RTCW",50000,"kg"
"Nonylphenols and nonylphenol ethoxylates","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Octylphenols and octylphenol ethoxylates","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Organotin compounds - as Sn","REPORTING_THRESHOLD","PI_EPRTR_RTCW",50,"kg"
"Pentachlorobenzene","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Pentachlorophenol","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Phenols - total as C","REPORTING_THRESHOLD","PI_EPRTR_RTCW",20,"kg"
"Phosphorus","REPORTING_THRESHOLD","PI_EPRTR_RTCW",5000,"kg"
"Polychlorinated biphenyls (PCBs)","REPORTING_THRESHOLD","PI_EPRTR_RTCW",0.1,"kg"
"Polychlorinated biphenyls (PCBs) - as WHO-TEQ","REPORTING_THRESHOLD","PI_EPRTR_RTCW",0.0001,"kg"
"Short chain (C10-C13) chlorinated paraffins (SCCPs)","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Simazine","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Tetrachloroethene","REPORTING_THRESHOLD","PI_EPRTR_RTCW",10,"kg"
"Tetrachloromethane","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Toluene","REPORTING_THRESHOLD","PI_EPRTR_RTCW",200,"kg"
"Total Organic Carbon","REPORTING_THRESHOLD","PI_EPRTR_RTCW",50000,"kg"
"Toxaphene","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Tributyltin and compounds - as TBT","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Trichlorobenzene","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Trichloroethene","REPORTING_THRESHOLD","PI_EPRTR_RTCW",10,"kg"
"Trichloromethane","REPORTING_THRESHOLD","PI_EPRTR_RTCW",10,"kg"
"Trifluralin","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Triphenyltin and compounds - as TPT","REPORTING_THRESHOLD","PI_EPRTR_RTCW",1,"kg"
"Xylene","REPORTING_THRESHOLD","PI_EPRTR_RTCW",200,"kg"
"Zinc","REPORTING_THRESHOLD","PI_EPRTR_RTCW",100,"kg"
"1,2-Dichloroethane","REPORTING_THRESHOLD","PI_A1_RTL",10,"kg"
"Alachlor","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Aldrin","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Anthracene","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Arsenic","REPORTING_THRESHOLD","PI_A1_RTL",5,"kg"
"Asbestos","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Atrazine","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Benzene","REPORTING_THRESHOLD","PI_A1_RTL",200,"kg"
"Benzo[a]pyrene","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Benzo[b]fluoranthene","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Benzo[k]fluoranthene","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Brominated diphenyl ethers - penta-, octa- and deca- BDE","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Cadmium","REPORTING_THRESHOLD","PI_A1_RTL",5,"kg"
"Chlordane","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Chlordecone","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Chlorfenvinphos","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Chloride","REPORTING_THRESHOLD","PI_A1_RTL",2000000,"kg"
"Chloroethene","REPORTING_THRESHOLD","PI_A1_RTL",10,"kg"
"Chlorpyrifos","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Chromium","REPORTING_THRESHOLD","PI_A1_RTL",50,"kg"
"Copper","REPORTING_THRESHOLD","PI_A1_RTL",50,"kg"
"Cyanides - as CN","REPORTING_THRESHOLD","PI_A1_RTL",50,"kg"
"DDT (Dichlorodiphenyltrichloroethane)","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Di(2-ethylhexyl)phthalate (DEHP)","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Dichloromethane","REPORTING_THRESHOLD","PI_A1_RTL",10,"kg"
"Dieldrin","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Dioxins and furans (PCDDs/PCDFs) - as I-TEQ","REPORTING_THRESHOLD","PI_A1_RTL",0.0001,"kg"
"Dioxins and furans (PCDDs/PCDFs) - as WHO-TEQ","REPORTING_THRESHOLD","PI_A1_RTL",0.0001,"kg"
"Diuron","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Endosulfan","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Endrin","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Ethylbenzene","REPORTING_THRESHOLD","PI_A1_RTL",200,"kg"
"Ethylene oxide (1,2 Epoxyethane)","REPORTING_THRESHOLD","PI_A1_RTL",10,"kg"
"Fluorides - as F","REPORTING_THRESHOLD","PI_A1_RTL",2000,"kg"
"Halogenated organic compounds - total as AOX","REPORTING_THRESHOLD","PI_A1_RTL",1000,"kg"
"HCH-gamma","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Heptachlor","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Hexabromobiphenyl","REPORTING_THRESHOLD","PI_A1_RTL",0.1,"kg"
"Hexachloro - 1,3 - butadiene","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Hexachlorobenzene","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Hexachlorocyclohexane","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Indeno[1,2,3-cd]pyrene","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Isoproturon","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Lead","REPORTING_THRESHOLD","PI_A1_RTL",20,"kg"
"Mercury","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Mirex","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Naphthalene","REPORTING_THRESHOLD","PI_A1_RTL",10,"kg"
"Nickel","REPORTING_THRESHOLD","PI_A1_RTL",20,"kg"
"Nitrogen","REPORTING_THRESHOLD","PI_A1_RTL",50000,"kg"
"Nonylphenols and nonylphenol ethoxylates","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Organotin compounds - as Sn","REPORTING_THRESHOLD","PI_A1_RTL",50,"kg"
"Pentachlorobenzene","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Pentachlorophenol","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Phenols - phenol and simple substituted - as C","REPORTING_THRESHOLD","PI_A1_RTL",20,"kg"
"Phosphorus","REPORTING_THRESHOLD","PI_A1_RTL",5000,"kg"
"Polychlorinated biphenyls (PCBs)","REPORTING_THRESHOLD","PI_A1_RTL",0.1,"kg"
"Polychlorinated biphenyls (PCBs) - as WHO-TEQ","REPORTING_THRESHOLD","PI_A1_RTL",0.0001,"kg"
"Short chain (C10-C13) chlorinated paraffins (SCCPs)","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Simazine","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Toluene","REPORTING_THRESHOLD","PI_A1_RTL",200,"kg"
"Toxaphene","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Tributyltin and compounds - as TBT","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Trifluralin","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Triphenyltin and compounds - as TPT","REPORTING_THRESHOLD","PI_A1_RTL",1,"kg"
"Xylene","REPORTING_THRESHOLD","PI_A1_RTL",200,"kg"
"Zinc","REPORTING_THRESHOLD","PI_A1_RTL",100,"kg"
"1,2-Dichloroethane","REPORTING_THRESHOLD","PI_A1LFIA_RTL",10,"kg"
"Alachlor","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Aldrin","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Anthracene","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Arsenic","REPORTING_THRESHOLD","PI_A1LFIA_RTL",5,"kg"
"Asbestos","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Atrazine","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Benzene","REPORTING_THRESHOLD","PI_A1LFIA_RTL",200,"kg"
"Benzo[a]pyrene","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Benzo[b]fluoranthene","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Benzo[k]fluoranthene","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Brominated diphenyl ethers - penta-, octa- and deca- BDE","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Cadmium","REPORTING_THRESHOLD","PI_A1LFIA_RTL",5,"kg"
"Chlordane","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Chlordecone","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Chlorfenvinphos","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Chloride","REPORTING_THRESHOLD","PI_A1LFIA_RTL",2000000,"kg"
"Chloroethene","REPORTING_THRESHOLD","PI_A1LFIA_RTL",10,"kg"
"Chlorpyrifos","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Chromium","REPORTING_THRESHOLD","PI_A1LFIA_RTL",50,"kg"
"Copper","REPORTING_THRESHOLD","PI_A1LFIA_RTL",50,"kg"
"Cyanides - as CN","REPORTING_THRESHOLD","PI_A1LFIA_RTL",50,"kg"
"DDT (Dichlorodiphenyltrichloroethane)","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Di(2-ethylhexyl)phthalate (DEHP)","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Dichloromethane","REPORTING_THRESHOLD","PI_A1LFIA_RTL",10,"kg"
"Dieldrin","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Dioxins and furans (PCDDs/PCDFs) - as I-TEQ","REPORTING_THRESHOLD","PI_A1LFIA_RTL",0.0001,"kg"
"Dioxins and furans (PCDDs/PCDFs) - as WHO-TEQ","REPORTING_THRESHOLD","PI_A1LFIA_RTL",0.0001,"kg"
"Diuron","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Endosulfan","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Endrin","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Ethylbenzene","REPORTING_THRESHOLD","PI_A1LFIA_RTL",200,"kg"
"Ethylene oxide (1,2 Epoxyethane)","REPORTING_THRESHOLD","PI_A1LFIA_RTL",10,"kg"
"Fluorides - as F","REPORTING_THRESHOLD","PI_A1LFIA_RTL",2000,"kg"
"Halogenated organic compounds - total as AOX","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1000,"kg"
"HCH-gamma","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Heptachlor","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Hexabromobiphenyl","REPORTING_THRESHOLD","PI_A1LFIA_RTL",0.1,"kg"
"Hexachloro - 1,3 - butadiene","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Hexachlorobenzene","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Hexachlorocyclohexane","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Indeno[1,2,3-cd]pyrene","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Isoproturon","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Lead","REPORTING_THRESHOLD","PI_A1LFIA_RTL",20,"kg"
"Mercury","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Mirex","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Naphthalene","REPORTING_THRESHOLD","PI_A1LFIA_RTL",10,"kg"
"Nickel","REPORTING_THRESHOLD","PI_A1LFIA_RTL",20,"kg"
"Nitrogen","REPORTING_THRESHOLD","PI_A1LFIA_RTL",50000,"kg"
"Nonylphenols and nonylphenol ethoxylates","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Organotin compounds - as Sn","REPORTING_THRESHOLD","PI_A1LFIA_RTL",50,"kg"
"Pentachlorobenzene","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Pentachlorophenol","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Phenols - phenol and simple substituted - as C","REPORTING_THRESHOLD","PI_A1LFIA_RTL",20,"kg"
"Phosphorus","REPORTING_THRESHOLD","PI_A1LFIA_RTL",5000,"kg"
"Polychlorinated biphenyls (PCBs)","REPORTING_THRESHOLD","PI_A1LFIA_RTL",0.1,"kg"
"Polychlorinated biphenyls (PCBs) - as WHO-TEQ","REPORTING_THRESHOLD","PI_A1LFIA_RTL",0.0001,"kg"
"Short chain (C10-C13) chlorinated paraffins (SCCPs)","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Simazine","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Toluene","REPORTING_THRESHOLD","PI_A1LFIA_RTL",200,"kg"
"Toxaphene","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Tributyltin and compounds - as TBT","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Trifluralin","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Triphenyltin and compounds - as TPT","REPORTING_THRESHOLD","PI_A1LFIA_RTL",1,"kg"
"Xylene","REPORTING_THRESHOLD","PI_A1LFIA_RTL",200,"kg"
"Zinc","REPORTING_THRESHOLD","PI_A1LFIA_RTL",100,"kg"
"1,2-Dichloroethane","REPORTING_THRESHOLD","PI_EPRTR_RTL",10,"kg"
"Alachlor","REPORTING_THRESHOLD","PI_EPRTR_RTL",1,"kg"
"Aldrin","REPORTING_THRESHOLD","PI_EPRTR_RTL",1,"kg"
"Anthracene","REPORTING_THRESHOLD","PI_EPRTR_RTL",1,"kg"
