,name,preferred,type,cas,parameter_groups
254,"2,3,3',4',4'-Pentachlorobiphenyl",,Chemical,,ECM
259,"2,3,3',4',5-Pentachlorobiphenyl",,Chemical,,ECM
257,"2,3,3',4',5,5'-Hexachlorobiphenyl",,Chemical,,ECM
256,"2,3,3',4',5,5',6-Heptachlorobiphenyl",,Chemical,,ECM
258,"2,3,3',4',5,6-Hexachlorobiphenyl",,Chemical,,ECM
255,"2,3,3',4',5',6-Hexachlorobiphenyl",,Chemical,,ECM
260,"2,3,3',4',6-Pentachlorobiphenyl",,Chemical,,ECM
281,"2,3,3',5-Tetrachlorobiphenyl",,Chemical,,ECM
279,"2,3,3',5,5'-Pentachlorobiphenyl",,Chemical,,ECM
278,"2,3,3',5,5',6-Hexachlorobiphenyl",,Chemical,,ECM
280,"2,3,3',5,6-Pentachlorobiphenyl",,Chemical,,ECM
277,"2,3,3',5'-Tetrachlorobiphenyl",,Chemical,,ECM
276,"2,3,3',5',6-Pentachlorobiphenyl",,Chemical,,ECM
282,"2,3,3',6-Tetrachlorobiphenyl",,Chemical,,ECM
296,"2,3,4-Trichlorophenol",,Chemical,15950-66-0,ECM
297,"2,3,4-Trimethylphenol",,Chemical,526-85-2,ECM
291,"2,3,4,4'-Tetrachlorobiphenyl",,Chemical,,ECM
289,"2,3,4,4',5-Pentachlorobiphenyl",,Chemical,,ECM
288,"2,3,4,4',5,6-Hexachlorobiphenyl",,Chemical,,ECM
290,"2,3,4,4',6-Pentachlorobiphenyl",,Chemical,,ECM
292,"2,3,4,5,6,7-Hexahydro-3,6-Dicylohexyl-10,11-Diphe",,Chemical,,ECM
294,"2,3,4,6-Tetrachlorophenol",,Chemical,58-90-2,ECM
293,"2,3,4,6,7,8-Hexachlorodibenzofuran",,Chemical,,ECM
295,"2,3,4,7,8-Pentachlorodibenzofuran",,Chemical,,ECM
287,"2,3,4'-Trichlorobiphenyl",,Chemical,,ECM
285,"2,3,4',5-Tetrachlorobiphenyl",,Chemical,,ECM
284,"2,3,4',5,6-Pentachlorobiphenyl",,Chemical,,ECM
286,"2,3,4',6-Tetrachlorobiphenyl",,Chemical,,ECM
300,"2,3,5-Trimethylphenol",,Chemical,697-82-5,ECM
298,"2,3,5,5'-tetrachlorobiphenyl",,Chemical,,ECM
299,"2,3,5,6-Tetrachlorophenol",,Chemical,935-95-5,ECM
301,"2,3,6-TBA",,Chemical,50-31-7,ECM
302,"2,3,6-Trimethylphenol",,Chemical,527-60-6,ECM
303,"2,3,7,8-Tetrachlorodibenzofuran",,Chemical,,ECM
252,"2,3'-Dichlorobiphenyl",,Chemical,,ECM
246,"2,3',4-Trichlorobiphenyl",,Chemical,,ECM
239,"2,3',4,4',5-Pentachlorobiphenyl",,Chemical,,ECM
238,"2,3',4,4',5,5'-Hexachlorobiphenyl",,Chemical,,ECM
237,"2,3',4,4',5'6-Hexachlorobiphenyl",,Chemical,,ECM
240,"2,3',4,4',6-Pentachlorobiphenyl",,Chemical,,ECM
244,"2,3',4,5-Tetrachlorobiphenyl",,Chemical,,ECM
243,"2,3',4,5,5'-Pentachlorobiphenyl",,Chemical,,ECM
242,"2,3',4,5'-Tetrachlorobiphenyl",,Chemical,,ECM
241,"2,3',4,5',6-Pentachlorobiphenyl",,Chemical,,ECM
245,"2,3',4,6-Tetrachlorobiphenyl",,Chemical,,ECM
236,"2,3',4'-Trichlorobiphenyl",,Chemical,,ECM
235,"2,3',4',5-Tetrachlorobiphenyl",,Chemical,,ECM
234,"2,3',4',5,5'-Pentachlorobiphenyl",,Chemical,,ECM
233,"2,3',4',5'-Tetrachlorobiphenyl",,Chemical,,ECM
232,"2,3',4',5',6-Pentachlorobiphenyl",,Chemical,,ECM
250,"2,3',5-Trichlorobiphenyl",,Chemical,,ECM
249,"2,3',5,5'-Tetrachlorobiphenyl",,Chemical,,ECM
248,"2,3',5'-Trichlorobiphenyl",,Chemical,,ECM
247,"2,3',5',6-Tetrachlorobiphenyl",,Chemical,,ECM
251,"2,3',6-Trichlorobiphenyl",,Chemical,,ECM
253,"2,3'4,4'-Tetrachlorobiphenyl",,Chemical,,ECM
307,"2,4 D","2,4-D",,,ECM
3478,"2,4 D ester","2,4-D",Chemical,,ECM
3479,"2,4 D non-ester","2,4-D (ester)",Chemical,,ECM
3480,"2,4 Dimenthylphenol","2,4-Dimethylphenol",Chemical,,ECM
327,"2,4-D",,Chemical,,ECM
328,"2,4-D ((2,4-Dichlorophenoxy)acetic Acid)","2,4-D",,,ECM
329,"2,4-D (ester)",,Chemical,,ECM
330,"2,4-D Methyl Ester",,Chemical,,ECM
331,"2,4-DB",,Chemical,94-82-6,ECM
3481,"2,4-DB (4-(2,4-DichFlorophenoxy)butyric Acid)","2,4-DB",Chemical,,ECM
332,"2,4-DB (4-(2,4-Dichlorophenoxy)butyric Acid)","2,4-DB",,,ECM
333,"2,4-DB (ug/l)","2,4-DB",,,ECM
334,"2,4-DDD","DDD (O,P)",,,ECM
335,"2,4-DDE","DDE (O,P)",,,ECM
336,"2,4-DDT","DDT (O,P)",,,ECM
337,"2,4-Dichlorophenol",,Chemical,120-83-2,ECM
338,"2,4-Dichlorophenol STLGG1","2,4-Dichlorophenol",,,ECM
339,"2,4-Dichlorophenol STLGG2","2,4-Dichlorophenol",,,ECM
340,"2,4-Dichlorophenol STLPJS","2,4-Dichlorophenol",,,ECM
341,"2,4-Dichlorophenol STLPJV","2,4-Dichlorophenol",,,ECM
348,"2,4-dichlorophenoxy acetic acid","2,4-D",,,ECM
342,"2,4-Dichlorophenoxyacetic Acid","2,4-D",,,ECM
343,"2,4-Dimethylphenol",,Chemical,105-67-9,ECM
349,"2,4-dimethylphenol low level","2,4-Dimethylphenol",,,ECM
344,"2,4-Dimethylphenol STLGG2","2,4-Dimethylphenol",,,ECM
345,"2,4-Dimethylphenol STLPJS","2,4-Dimethylphenol",,,ECM
346,"2,4-Dinitrophenol",,Chemical,51-28-5,ECM
347,"2,4-Dinitrotoluene",,Chemical,121-14-2,ECM
311,"2,4,4',5-Tetrachlorobiphenyl",,Chemical,,ECM
312,"2,4,4',6-Tetrachlorobiphenyl",,Chemical,,ECM
313,"2,4,5-T",,Chemical,,ECM
314,"2,4,5-T (2,4,5-Trichlorophenoxyacetic Acid)","2,4,5-T",,,ECM
315,"2,4,5-Trichlorophenol",,Chemical,,ECM
316,"2,4,5-Trichlorophenoxyacetic Acid","2,4,5-T",,,ECM
317,"2,4,6-Tribromophenol",,Chemical,,ECM
318,"2,4,6-Trichlorophenol",,Chemical,02/06/1988,ECM
319,"2,4,6-Trichlorophenol STLGG4","2,4,6-Trichlorophenol",,,ECM
320,"2,4,6-Trichlorophenol STLPK2","2,4,6-Trichlorophenol",,,ECM
321,"2,4,6-Trimethyl phenol",,Chemical,,ECM
322,"2,4,6-Trimethylphenol",,Chemical,527-60-6,ECM
323,"2,4,6-Trinitrophenol",,Chemical,,ECM
325,"2,4,6-trinitrophenyl-N-methylnitramine",,Chemical,479-45-8,ECM
324,"2,4,6-Trinitrotoluene",,Chemical,,ECM
326,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",,Chemical,126-86-3,ECM
310,"2,4'-Dichlorobiphenyl",,Chemical,,ECM
3417,"2,4'-Dichlorodiphenyltrichloroethane ",,Chemical,,ECM
308,"2,4',5-Trichlorobiphenyl",,Chemical,,ECM
309,"2,4',6-Trichlorobiphenyl",,Chemical,,ECM
350,"2,5-Dichlorophenol",,Chemical,,ECM
351,"2,5-Dimethylphenol",,Chemical,95-87-4,ECM
352,"2,5-Xylenol","2,5-Dimethylphenol",,,ECM
353,"2,6-Di-tert-butyl-p-cresol",,Chemical,128-37-0,ECM
354,"2,6-Dichlorobenzonitrile",Dichlobenil,,,ECM
355,"2,6-Dichlorophenol",,Chemical,,ECM
356,"2,6-Dimethylheptan-4-one",,Chemical,108-83-8,ECM
357,"2,6-Dimethylphenol",,Chemical,576-26-1,ECM
358,"2,6-Dinitrotoluene",,Chemical,,ECM
359,"2,6-Xylenol","2,6-Dimethylphenol",,,ECM
448,2.2'-bipyridine,,Chemical,,ECM
449,3 & 4-Chlorophenol,3- and 4-Chlorophenol,,,ECM
450,3 & 4-Methylphenol,3- and 4-Methylphenol,,,ECM
451,3 and 4-Chlorophenol,,Chemical,,ECM
452,3 and 4-Methylphenol,,Chemical,,ECM
511,3_Methyl-3H-benzothiazol-2-one,,Chemical,,ECM
489,3- & 4-Methylphenol,3- and 4-Methylphenol,,,ECM
490,3- and 4-Chlorophenol,,Chemical,,ECM
491,3- and 4-Methylphenol,,Chemical,,ECM
492,3-(p-Methoxyphenyl)-6-nitro-(2-1)-benzisoxazole,,Chemical,,ECM
493,3-Aminopropyldimethylamine,,Chemical,109-55-7,ECM
494,"3-Benzoyl-2-Methylnaphtho(2,3-B)Furan-4-9-Dione",,Chemical,,ECM
495,3-Buten-1-ol,,Chemical,627-27-0,ECM
496,3-Chloroaniline,,Chemical,108-42-9,ECM
497,3-Chlorophenol,,Chemical,108-43-0,ECM
498,3-Chloropropylene,,Chemical,0107-05-01,ECM
510,3-cresol,3-Methylphenol,,,ECM
499,3-Heptanone,,Chemical,,ECM
500,3-Hexanone,,Chemical,589-38-8,ECM
501,3-Isopropylphenol,,Chemical,618-45-1,ECM
502,3-Methyl-3H-benzothiazol-2-one,,Chemical,2786-62-1,ECM
503,3-Methyl-6-hydroxybenzo[c]-dihydrofuran[SVOCSW],,Chemical,,ECM
504,3-Methylbutan-1-ol,,Chemical,123-51-3,ECM
505,3-Methylcholanthrene,,Chemical,56-49-5,ECM
506,3-Methylphenol,,Chemical,108-39-4,ECM
507,3-Methylpyridine,,Chemical,108-99-6,ECM
508,3-Nitroaniline,,Chemical,,ECM
509,"3-Pentanone, 2,4-dimethyl",Diisopropyl ketone,,,ECM
468,"3,3-Dichlorobenzidine",,Chemical,,ECM
469,"3,3-Dimethylbenzidine",,Chemical,,ECM
470,"3,3-Dimethylheptanoic acid",,Chemical,67061-30-7,ECM
467,"3,3,4-Trimethylhexane","Hexane3,3,4-Trimethyl",,,ECM
466,"3,3,4'-trichlorobiphenyl",,Chemical,,ECM
462,"3,3'-Dichlorobenzidine",,Chemical,91-94-1,ECM
463,"3,3'-Dimethylbenzidine","4,4'-Bi-o-toluidine",,,ECM
457,"3,3',4,4'-Tetrachlorobiphenyl",,Chemical,,ECM
456,"3,3',4,4',5-Pentachlorobiphenyl",,Chemical,,ECM
455,"3,3',4,4',5,5'-Hexachlorobiphenyl",,Chemical,,ECM
460,"3,3',4,5-Tetrachlorobiphenyl",,Chemical,,ECM
459,"3,3',4,5,5'-Pentachlorobiphenyl",,Chemical,,ECM
458,"3,3',4,5'-Tetrachlorobiphenyl",,Chemical,,ECM
454,"3,3',4'-Trichlorobiphenyl",,Chemical,,ECM
461,"3,3',5-Trichlorobiphenyl",,Chemical,,ECM
464,"3,3'5,5'-Tetrachlorobiphenyl",,Chemical,,ECM
465,"3,3'Dichlorobiphenyl",,Chemical,,ECM
478,"3,4-Dichlorophenol",,Chemical,95-77-2,ECM
479,"3,4-Dihydro-4,4-dimethyl-2H-1,2-benzisothiazine",,Chemical,,ECM
480,"3,4-Dihydrobenzo[c]pyran-1 [2H]-ol [SVOCSW]",,Chemical,,ECM
481,"3,4-Dimethylphenol",,Chemical,95-65-8,ECM
474,"3,4,4'-Trichlorobiphenyl",,Chemical,,ECM
473,"3,4,4',5-Tetrachlorobiphenyl",,Chemical,,ECM
475,"3,4,5-Tribromo-2-(5-Bromo-2-Methoxyphenyl)Pyrrole",,Chemical,,ECM
476,"3,4,5-Trichlorobiphenyl",,Chemical,,ECM
477,"3,4,5-Trimethylphenol",,Chemical,527-54-8,ECM
472,"3,4'-Dichlorobiphenyl",,Chemical,,ECM
471,"3,4',5-Trichlorobiphenyl",,Chemical,,ECM
487,"3,5-di-tert-butyl-4-hydroxyphenyl propionic acid",,Chemical,20170-32-5,ECM
485,"3,5-di-tert-Butyl-4-hydroxyphenylpropionic acid [S]","3,5-di-tert-butyl-4-hydroxyphenyl propionic acid",,,ECM
486,"3,5-di-tert-Buyl-4-hydroxyphenylpropionic acid [S]",,Chemical,,ECM
483,"3,5-Dibromo-4-hydroxybenzonitrile",Bromoxynil,,,ECM
484,"3,5-Dimethylphenol",,Chemical,108-68-9,ECM
482,"3,5,5-Trimethylcyclohex-2-enone",Isophorone,,,ECM
488,"3,6,6-Trimethylnorpinan-2-one[SVOCSW]",,Chemical,16022-08-5,ECM
453,3+4-Methylphenol,,Chemical group,,ECM
523,"4-(2,4-Dichlorophenoxy)butyric acid","2,4-DB",,,ECM
524,4-(4-Oxo-6-methoxylbenzopyran-3-yl)-coumarin,,Chemical,,ECM
525,4-(Isopropylamino) diphenylamine,,Chemical,101-72-4,ECM
526,4-Aminobiphenyl,,Chemical,92-67-1,ECM
527,4-Aminotoluene,,Chemical,,ECM
528,4-Bromobenzenamine,,Chemical,,ECM
529,4-Bromofluorobenzene,,Chemical,460-00-4,ECM
530,4-Bromophenyl phenyl ether,,Chemical,,ECM
531,4-Chloro-3-methylphenol,,Chemical,59-50-7,ECM
556,4-chloro-o-tolyloxyacetic acid,MCPA,,,ECM
532,4-Chloroacetophenone,,Chemical,,ECM
533,4-Chloroaniline,,Chemical,106-47-8,ECM
534,4-Chloronitrobenzene,1-Chloro-4-nitrobenzene,,,ECM
535,4-Chlorophenol,,Chemical,,ECM
536,4-Chlorophenoxyacetic Acid,,Chemical,122-88-3,ECM
537,4-Chlorophenyl phenylether,,Chemical,7005-72-3,ECM
538,4-Chlorotoluene,,Chemical,,ECM
539,4-Ethenyl-1-cyclohexene,,Chemical,100-40-3,ECM
540,4-Ethylmorpholine,,Chemical,100-74-3,ECM
541,4-Ethylphenol,,Chemical,0123-07-09,ECM
542,4-Hydroxy-4-methylpentan-2-one,,Chemical,,ECM
543,4-Isopropyltoluene,,Chemical,99-87-6,ECM
544,4-Methoxybenzenamine,,Chemical,20265-97-8,ECM
545,4-Methyl-2-pentanol,,Chemical,0108-11-02,ECM
546,4-Methyl-2-pentanone,,Chemical,,ECM
547,4-Methylbenzenesulfonic acid,,Chemical,,ECM
548,4-Methylpent-3-en-2-one,,Chemical,,ECM
557,4-methylpentan-2-ol,4-Methyl-2-pentanol,,,ECM
558,4-methylpentan-2-one,4-Methyl-2-pentanone,,,ECM
549,4-Methylphenol,,Chemical,106-44-5,ECM
550,4-Methylphenol STLGHP,4-Methylphenol,,,ECM
551,4-Methylphenol STLPJK,4-Methylphenol,,,ECM
552,4-Methylpyridine,,Chemical,108-89-4,ECM
553,4-Nitroaniline,,Chemical,0100-01-06,ECM
554,4-Nitrophenol,,Chemical,0100-02-07,ECM
555,4-Phenoxybutyric acid,,Chemical,6303-58-8,ECM
559,4-tert-Butylcyclohexanone,,Chemical,,ECM
519,"4,4-Dipyridyl",,Chemical,553-26-4,ECM
512,"4,4'-Bi-o-toluidine",,Chemical,,ECM
513,"4,4'-DDE",Dichlorodiphenyldichloroethylene,,,ECM
514,"4,4'-DDT","DDT (P,P)",,,ECM
515,"4,4'-Diaminodiphenylmethane",,Chemical,101-77-9,ECM
516,"4,4'-Dichlorobiphenyl",,Chemical,,ECM
3371,"4,4'-Dichlorodiphenyltrichloroethane",,Chemical,,ECM
517,"4,4'-Methylenedianiline (MDA)","4,4'-Diaminodiphenylmethane",,,ECM
518,"4,4'DDD",Dichlorodiphenyldichloroethane,,,ECM
520,"4,5,6-Trichloro-2-benzoxazolinone",,Chemical,50995-94-3,ECM
521,"4,6-Dinitro-2-methylphenol",,Chemical,,ECM
522,"4,7-methano-5H-inden-5-one,3,3a,4,6,7,7a-hexahydro",,Chemical,,ECM
560,5-Ethylidene-2-norbornene,,Chemical,16219-75-3,ECM
561,5-Methyl-2-(N-ethyl-p-chlorophenylamino)-2-thiazol,,Chemical,,ECM
562,5-Methyl-2-(N-ethyl-p-chlorophenylamino)-2-thiazoline,,Chemical,,ECM
563,5-Methyl-2-hexanone,,Chemical,0110-12-03,ECM
564,5-Methylheptan-3-one,,Chemical,541-85-5,ECM
565,5-Methylhexan-2-one,5-Methyl-2-hexanone,,,ECM
3436,"5H-Indeno (1,2-b) pyridine","5H-Indeno[1,2-b]pyridine",Chemical,244-99-5,ECM
3420,"5H-Indeno[1,2-b]pyridine",,Chemical,244-99-5,ECM
567,"6-Octadecenoic acid, (Z)-",,Chemical,593-39-5,ECM
566,"6,6'-Di-tert-butyl-4,4'-thiodi-m-cresol",,Chemical,96-69-5,ECM
569,"7-Methoxy-6-chloro-2,2-dimethyl-chromene",,Chemical,,ECM
568,"7,12-Dimethylbenz(a)anthracene",,Chemical,57-97-6,ECM
570,9-Hexacosene,,Chemical,71502-22-2,ECM
571,9-Hydroxycyclohepta(a)phenalene-6-10-dione,,Chemical,,ECM
572,9-Octadecenamide,,Chemical,,ECM
3402,"9, 10 Anthraquinone","9,10-Anthraquinone",Chemical,84-65-1,ECM
3457,"9,10-Anthraquinone",,Chemical,84-65-1,ECM
573,9H-Fluoren-9-one,,Chemical,486-25-9,ECM
574,"9H-Thioxanthen-9-one,2-(1-methylethyl)",,Chemical,5495-84-1,ECM
627,Abamectin,,Chemical,,ECM
3411,Acenaphtalene,Acenaphthylene,Chemical,208-96-8,ECM
628,Acenaphthene,,Chemical,83-32-9,ECM
629,Acenaphthene-d10,,Chemical,,ECM
630,Acenaphthylene,,Chemical,208-96-8,ECM
631,Acetaldehyde,Ethanal,,,ECM
632,Acetamide,,Chemical,,ECM
633,Acetate,,Chemical,,ECM
634,Acetic acid,,Chemical,,ECM
635,Acetic anhydride,,Chemical,,ECM
636,Acetone,,Chemical,,ECM
637,Acetone + propanal,,Chemical group,,ECM
638,Acetone glycerol,,Chemical,,ECM
639,Acetonitrile,,Chemical,,ECM
640,Acetophenone,,Chemical,,ECM
641,Acetylacetone,,Chemical,,ECM
642,Acetylene,,Chemical,,ECM
643,Acetyltributylcitrate,,Chemical,77-90-7,ECM
644,Acid Neutralisation Capacity,,Physical parameter,,ECM
645,Acidity,,Physical parameter,,ECM
646,Aclonifen,,Chemical,74070-46-5,ECM
647,Acrolein,,Chemical,,ECM
648,Acrylaldehyde (acrolein),Acrolein,,,ECM
649,Acrylamide,,Chemical,,ECM
650,Acrylates (as butyl acrylate),,Chemical group,,ECM
651,Acrylates (as glycidyl methacrylate),,Chemical group,,ECM
652,Acrylic acid,,Chemical,,ECM
653,Actinium 228,Actinium-228,,,ECM
654,Actinium-228,,Chemical,,ECM
655,Activated Carbon,,Chemical,,ECM
656,Adipic acid,,Chemical,,ECM
657,Adiponitrile,,Chemical,,ECM
658,Adsorbable Organically bound halogens (AOX),AOX,,,ECM
659,Age (Christensen&Larsen),,Physical parameter,,ECM
660,Air Temperature,,Physical parameter,,ECM
661,Alachlor,,Chemical,15972-60-8,ECM PI_RTA PI_RTL PI_RTW PI_OSW
662,Aldicarb,,Chemical,,ECM
663,Aldrin,,Chemical,309-00-2,ECM PI_RTA PI_RTL PI_RTW PI_OSW
664,Aldrin-R (ug/l),Aldrin,,,ECM
665,Algae Blue/Green,,Biological Parameter,,ECM
666,Algae Diatoms,,Biological Parameter,,ECM
667,Algae Green,,Biological Parameter,,ECM
668,Algae others,,Biological Parameter,,ECM
669,Algal count,,Biological Parameter,,ECM
670,Aliphatics & Aromatics C5-35 (aq),,Chemical Group,,ECM
671,Aliphatics <C10-C12,,Chemical Group,,ECM
672,Aliphatics > EC12-EC35 (aq),Aliphatics C12-C35 (aq),,,ECM
673,Aliphatics >C10-C12,Aliphatics C10-C12,,,ECM
674,Aliphatics >C12-C16 (aq),Aliphatics C12-C16 (aq),,,ECM
675,Aliphatics >C16-C21 (aq),Aliphatics C16-C21 (aq),,,ECM
676,Aliphatics >C21-C35 (aq),Aliphatics C21-C35 (aq),,,ECM
677,Aliphatics >C5-C12,Aliphatics C5-C12,,,ECM
678,Aliphatics >C5-C6,Aliphatics C5-C6,,,ECM
679,Aliphatics >C6-C8,Aliphatics C6-C8,,,ECM
680,Aliphatics >C8-C10,Aliphatics C8-C10,,,ECM
691,Aliphatics and Aromatics > C5-35 (aq),Aliphatics & Aromatics C5-35 (aq),,,ECM
692,"Aliphatics and aromatics C12-C35, total",,Chemical Group,,ECM
681,Aliphatics C10-C12,,Chemical Group,,ECM
682,"Aliphatics C10-C35, total",,Chemical Group,,ECM
683,Aliphatics C12-C16 (aq),,Chemical Group,,ECM
684,Aliphatics C12-C35 (aq),,Chemical Group,,ECM
685,Aliphatics C16-C21 (aq),,Chemical Group,,ECM
686,Aliphatics C21-C35 (aq),,Chemical Group,,ECM
687,Aliphatics C5-C12,,Chemical Group,,ECM
688,Aliphatics C5-C6,,Chemical Group,,ECM
689,Aliphatics C6-C8,,Chemical Group,,ECM
690,Aliphatics C8-C10,,Chemical Group,,ECM
3482,Alkalinity,Alkalinity (Total),Physical,,ECM
693,Alkalinity (Total),,Physical parameter,,ECM
696,Alkalinity as CaCO3,,Physical parameter,,ECM
3483,Alkalinity as HC03,Alkalinity as HCO3,Physical,,ECM
697,Alkalinity as HCO3,,Physical parameter,,ECM
3484,Alkalinity to pH 4.5 as CaCO3,Alkalinity Total as CaCO3,Physical,,ECM
694,Alkalinity Total,Alkalinity (Total),,,ECM
695,Alkalinity Total as CaCO3,,Physical parameter,,ECM
698,"Alkalinity, Hydroxide",,Physical parameter,,ECM
699,Allomaleic acid,,Chemical,,ECM
700,Allyl alcohol,,Chemical,107-18-6,ECM
3240,alpha - BHC,HCH-alpha,,,ECM
3241,alpha - HCH,HCH-alpha,,,ECM
701,Alpha analysis,,Radioisotope group,,ECM
3485,Alpha HCH,HCH-alpha,Chemical,,ECM
3242,alpha-Chlordane,Chlordane-cis,,,ECM
3243,alpha-Chlorotoluene,Benzyl chloride,,,ECM
3244,alpha-Endosulphan,Endosulfan alpha (1),,,ECM
3650,alpha-Hexachlorocyclohexane,1-Methyl-4-(1-Methylethynyl)-Benzene,Chemical,,ECM
3245,alpha-Methyl Styrene,,Chemical,,ECM
3246,alpha-Methylstyrene,Isopropenylbenzene,,,ECM
702,Alumina hydrate,,Chemical,,ECM
703,Aluminium,,Chemical,,ECM
704,Aluminium alkyl compounds,,Chemical Group,,ECM
705,Aluminium oxide,,Chemical,,ECM
706,Aluminium oxides,,Chemical group,,ECM
707,Aluminium phosphide,,Chemical,,ECM
708,"Aluminium salts, soluble",,Chemical Group,,ECM
709,Aluminium trisulphate,,Chemical,,ECM
710,Aluminum,Aluminium,,,ECM
711,Aluminum oxide,Aluminium oxide,,,ECM
712,Aluminum oxides,Aluminium oxides,,,ECM
713,Aluminum phosphide,Aluminium phosphide,,,ECM
714,Americium + Curium,,Chemical group,,ECM
715,Americium 241,Americium-241,,,ECM
716,Americium-241,,Chemical,,ECM
717,Ametryn,,Chemical,,ECM
718,Amines,,Chemical group,,ECM
719,Ammonia,,Chemical,,ECM
720,Ammonia (NH3),Ammonia,,,ECM
721,Ammonia as N,Ammonia,,,ECM
3486,Ammonia as NH3 CALC,Ammonia,Chemical,,ECM
3247,ammonia as total ammonia,Ammonia,,,ECM
3466,Ammonia un-ionised as N,,Chemical,,ECM
3443,Ammonia unionised as N,Ammonia un-ionised as N,Chemical,,ECM
723,Ammoniacal nitrogen,,Chemical,,ECM
724,Ammoniacal nitrogen (nitrogen),Ammoniacal nitrogen as N,,,ECM
725,Ammoniacal nitrogen as N,,Chemical,,ECM
722,Ammoniacal Nitrogen as NH4,,Chemical,,ECM
726,Ammoniacal nitrogen as NH4-N,Ammoniacal Nitrogen as NH4,,,ECM
3469,Ammoniacal Nitrogen Chloride,,Chemical,,ECM
727,Ammonium,Ammoniacal Nitrogen as NH4,,,ECM
3487,Ammonium (as NH4),Ammoniacal Nitrogen as NH4,Chemical,,ECM
3444,Ammonium as N (NH4-N),,Chemical,,ECM
3488,Ammonium as Nitrogen (NH4-N),Ammonium as N (NH4-N),Chemical,,ECM
728,Ammonium chloride,,Chemical,,ECM
3248,"ammonium chloride, fume",Ammonium chloride,,,ECM
729,Ammonium fluoride,,Chemical,,ECM
730,Ammonium hydrogen sulphite,,Chemical,,ECM
731,Ammonium hydroxide,,Chemical,,ECM
732,Ammonium oxalate,,Chemical,,ECM
733,Ammonium sulphamidate,,Chemical,,ECM
734,Amosite,,Chemical,,ECM
735,Amylamine,,Chemical,,ECM
622,ANC at pH4,,Physical parameter,,ECM
623,ANC at pH6,,Physical parameter,,ECM
624,ANC at pH7,,Physical parameter,,ECM
736,Anemometer,,Physical parameter,,ECM
737,Aniline,Phenylamine,,,ECM
738,Aniline hydrochloride,,Chemical,,ECM
739,"Aniline, N-methyl",N-Methylaniline,,,ECM
740,Anions total,,Chemical group,,ECM
742,Annual energy input,,LCP,,ECM
741,Annual Operating Hours,,REM,,ECM
743,Anthanthrene,,Chemical,,ECM
744,Anthracene,,Chemical,0120-12-07,ECM PI_RTA PI_RTL PI_RTW PI_OSW
745,Anthraquinone,,Chemical,,ECM
746,Antimonous chloride,,Chemical,,ECM
747,Antimony,,Chemical,,ECM
748,Antimony 124,Antimony-124,,,ECM
749,Antimony 125,Antimony-125,,,ECM
3489,Antimony by ICP-MS,Antimony,Chemical,,ECM
750,Antimony trioxide,,Chemical,,ECM
751,Antimony-124,,Chemical,,ECM
752,Antimony-125,,Chemical,,ECM
625,AOX,,Chemical Group,,ECM
626,APC Residues,,Chemical group,,ECM
753,Appearance,,Physical parameter,,ECM
754,Argon 41,Argon-41,,,ECM
755,Argon-41,,Chemical,,ECM
756,Arochlor (unspecified),Aroclor (unspecified),,,ECM
757,Arochlor 1016,Aroclor 1016,,,ECM
758,Arochlor 1210,Aroclor 1210,,,ECM
759,Arochlor 1216,Aroclor 1216,,,ECM
760,Arochlor 1221,Aroclor 1221,,,ECM
761,Arochlor 1231,Aroclor 1231,,,ECM
762,Arochlor 1232,Aroclor 1232,,,ECM
763,Arochlor 1240,Aroclor 1240,,,ECM
764,Arochlor 1242,Aroclor 1242,,,ECM
765,Arochlor 1248,Aroclor 1248,,,ECM
766,Arochlor 1250,Aroclor 1250,,,ECM
767,Arochlor 1252,Aroclor 1252,,,ECM
768,Arochlor 1254,Aroclor 1254,,,ECM
769,Arochlor 1255,Aroclor 1255,,,ECM
770,Arochlor 1256,Aroclor 1256,,,ECM
771,Arochlor 1258,Aroclor 1258,,,ECM
772,Arochlor 1259,Aroclor 1259,,,ECM
773,Arochlor 1260,Aroclor 1260,,,ECM
774,Arochlor 1261,Aroclor 1261,,,ECM
775,Arochlor 1262,Aroclor 1262,,,ECM
776,Arochlor 1268,Aroclor 1268,,,ECM
777,Aroclor (unspecified),,Chemical group,,ECM
778,Aroclor 1016,,Chemical,,ECM
779,Aroclor 1210,,Chemical,,ECM
780,Aroclor 1216,,Chemical,,ECM
781,Aroclor 1221,,Chemical,,ECM
782,Aroclor 1231,,Chemical,,ECM
783,Aroclor 1232,,Chemical,,ECM
784,Aroclor 1240,,Chemical,,ECM
785,Aroclor 1242,,Chemical,,ECM
786,Aroclor 1248,,Chemical,,ECM
787,Aroclor 1250,,Chemical,,ECM
788,Aroclor 1252,,Chemical,,ECM
789,Aroclor 1254,,Chemical,,ECM
790,Aroclor 1255,,Chemical,,ECM
791,Aroclor 1256,,Chemical,,ECM
792,Aroclor 1258,,Chemical,,ECM
793,Aroclor 1259,,Chemical,,ECM
794,Aroclor 1260,,Chemical,,ECM
795,Aroclor 1261,,Chemical,,ECM
796,Aroclor 1262,,Chemical,,ECM
797,Aroclor 1268,,Chemical,,ECM
798,Aromatics > EC10-EC12,,Chemical Group,,ECM
799,Aromatics >EC12-EC16 (aq),,Chemical Group,,ECM
800,Aromatics >EC16-EC21 (aq),,Chemical Group,,ECM
801,Aromatics >EC16-EC35,,Chemical Group,,ECM
